timestamp_local,outdoor_temperature_c,heat_truth_mw,heat_pred_mw,cool_truth_mw,cool_pred_mw
2023-04-27 18:00:00,12.1,3.6332068074893825e-14,0.0,308.259667780699,105.84942228223066
2023-04-27 19:00:00,8.6,0.0,213.03060108823672,20.97284692384192,6.658491953275498
2023-04-27 20:00:00,7.5,0.0,437.8750753748166,8.812713475155842,0.0
2023-04-27 21:00:00,6.5,64.48366734573591,525.8133398278812,2.3084877714061727,0.0
2023-04-27 22:00:00,6.2,277.22724735706754,800.6233248023755,4.698764773055783e-14,0.0
2023-04-27 23:00:00,6.5,405.3440642707131,951.8215756284085,4.4164185035862666e-14,0.0
2023-04-28 00:00:00,5.7,550.89799264975,1225.6154619422086,9.939750572178155e-14,0.0
2023-04-28 01:00:00,5.3,684.206448625707,1430.3595250251897,2.5465871196061163e-14,0.0
2023-04-28 02:00:00,4.5,875.6354191786556,1519.379559697214,2.2587701557561317e-14,0.0
2023-04-28 03:00:00,4.4,896.8317977832155,1627.8093459065956,6.643964035461207e-14,0.0
2023-04-28 04:00:00,5.2,908.0280761917832,1436.2292202003762,9.241112059030322e-14,0.0
2023-04-28 05:00:00,5.2,914.7096333120217,1408.1050004465937,0.0,0.0
2023-04-28 06:00:00,6.4,265.89796792735683,340.6986056295358,2.6989224188582742e-14,0.0
2023-04-28 07:00:00,8.5,6.034307402920351,200.52814237342798,0.0,0.0
2023-04-28 08:00:00,10.4,0.0,15.807108369739598,12.287917863525154,7.8634505444525855
2023-04-28 09:00:00,12.1,0.0,0.0,79.68546294284694,154.09513057881514
2023-04-28 10:00:00,13.7,1.3661928402125162e-14,0.0,337.7802100092405,820.0498109652168
2023-04-28 11:00:00,15.2,0.0,0.0,703.6367875674981,1189.818036815429
2023-04-28 12:00:00,16.4,3.0159965045937284e-14,0.0,887.6676685708755,1148.4243998105235
2023-04-28 13:00:00,17.2,2.1591379350866198e-13,0.0,1334.2486395690346,1612.3586314439474
2023-04-28 14:00:00,16.6,4.973620538234485e-14,0.0,594.2671269215737,533.2209956106391
2023-04-28 15:00:00,15.6,6.561568488262246e-15,0.0,149.8074704984939,194.47098841251687
2023-04-28 16:00:00,15.0,0.0,0.0,73.05903147146847,54.572092076801894
2023-04-28 17:00:00,14.4,0.0,0.0,51.89117300026659,46.18817498100182
2023-04-28 18:00:00,13.3,6.951769866756161e-15,0.0,47.23914714188755,51.58209563461284
2023-04-28 19:00:00,12.2,0.0,0.0,15.917667617847528,31.189582207712554
2023-04-28 20:00:00,11.5,3.555471541467983e-15,0.0,8.83071742021149,10.53195394121582
2023-04-28 21:00:00,11.1,2.6666036561009876e-15,86.1698188095809,4.878280568770597,7.010473797788338
2023-04-28 22:00:00,10.7,77.66167184067515,212.3735921190987,1.411731347347582e-15,0.0
2023-04-28 23:00:00,10.8,195.4721710269842,269.1713536900665,4.4164185035862666e-14,0.0
2023-04-29 00:00:00,10.7,272.0183037647021,317.4518700314154,3.337594329671199e-14,0.0
2023-04-29 01:00:00,10.6,340.1679927317375,357.6930594101783,4.907131670651407e-15,0.0
2023-04-29 02:00:00,10.6,455.56163703023856,363.46073011518706,2.110811412008347e-14,0.0
2023-04-29 03:00:00,9.9,575.3738366648387,448.79755554579043,1.5463082640770046e-13,0.0
2023-04-29 04:00:00,10.0,618.410988184587,456.95281200123003,2.191852146224296e-13,0.0
2023-04-29 05:00:00,9.4,663.6819169693615,529.8818432180426,6.939881522956777e-14,0.0
2023-04-29 06:00:00,9.9,101.90238681330754,163.18567213666853,6.133914588314259e-16,0.0
2023-04-29 07:00:00,10.9,0.0,62.86175906644657,0.0,8.428530699580607
2023-04-29 08:00:00,12.7,6.222075197568974e-15,0.0,24.886776979330204,42.87889622580332
2023-04-29 09:00:00,15.1,6.677142858835497e-14,0.0,307.5101798913928,585.539690035069
2023-04-29 10:00:00,16.3,7.377551140631444e-14,0.0,509.11081617102326,828.9472865463607
2023-04-29 11:00:00,17.5,6.54284222753521e-15,0.0,651.9134708400209,1455.095297480903
2023-04-29 12:00:00,18.6,9.359740088973813e-14,0.0,1187.2818161994805,1688.1268131775116
2023-04-29 13:00:00,15.3,1.0038978470027247e-14,0.0,992.116854923575,735.8827568424035
2023-04-29 14:00:00,16.1,3.784605793705189e-14,0.0,1499.0694803558595,1381.039472008807
2023-04-29 15:00:00,14.6,1.3123136976524495e-14,0.0,439.1562271519589,138.85296747212655
2023-04-29 16:00:00,15.0,1.3592083525994979e-13,0.0,371.4167820995474,166.56220007606376
2023-04-29 17:00:00,15.6,8.962216674030924e-14,0.0,767.2410637399788,671.4284050000583
2023-04-29 18:00:00,15.3,3.246445671463491e-14,0.0,431.0145632626726,362.42036923725385
2023-04-29 19:00:00,13.5,3.555471541467983e-15,0.0,46.87796702855675,52.014369647737084
2023-04-29 20:00:00,12.7,5.333207312201975e-15,0.0,15.051417680247356,26.70270150106259
2023-04-29 21:00:00,11.7,1.7777357707339916e-15,0.0,9.04386114359875,8.833311190740787
2023-04-29 22:00:00,11.7,2.2221697134174905e-16,0.0,1.657527821336989,8.057847060451383
2023-04-29 23:00:00,11.3,37.71918402474912,239.0939021556795,5.520523129482833e-15,0.0
2023-04-30 00:00:00,11.3,95.13733494471249,246.64681178259593,0.0,0.0
2023-04-30 01:00:00,11.4,144.6419751946746,238.73904226469153,1.1293850778780655e-14,0.0
2023-04-30 02:00:00,11.1,223.8795674915707,323.32721027366756,0.0,0.0
2023-04-30 03:00:00,10.2,365.9017256796285,414.8493779678847,2.110811412008347e-14,0.0
2023-04-30 04:00:00,9.8,445.018772171601,465.649726902892,5.3978448377165483e-14,0.0
2023-04-30 05:00:00,9.9,462.30130631528044,478.35457688343274,4.7928801962122886e-14,0.0
2023-04-30 06:00:00,10.3,300.8547399382695,213.20217198588654,0.0,0.0
2023-04-30 07:00:00,11.2,0.0,18.73060282533658,0.0,8.57515602353012
