date,day_label,duration_h,cohort,cohort_label,shifted_wh_m2,release_wh_m2,net_wh_m2
2023-03-04,March savings I,1,residential_pre1975,<1975,0.0,11.544579335853962,-11.544579335853962
2023-03-04,March savings I,1,residential_1975_1990,1975-1990,0.0,10.818986613621552,-10.818986613621552
2023-03-04,March savings I,1,residential_1990_2000,1990-2000,0.0,9.834810047078436,-9.834810047078436
2023-03-04,March savings I,1,residential_2000_2014,2000-2014,9.071473286715335,2.03980271846289e-15,9.071473286715333
2023-03-04,March savings I,4,residential_pre1975,<1975,12.312461511180556,23.21971586597458,-10.907254354794025
2023-03-04,March savings I,4,residential_1975_1990,1975-1990,23.419195980874893,21.637973227243357,1.781222753631539
2023-03-04,March savings I,4,residential_1990_2000,1990-2000,21.724038989400846,19.669620094156944,2.054418895243902
2023-03-04,March savings I,4,residential_2000_2014,2000-2014,36.28589314686135,2.03980271846289e-15,36.28589314686134
2023-03-04,March savings I,8,residential_pre1975,<1975,36.93738453354108,43.23731072550924,-6.299926191968165
2023-03-04,March savings I,8,residential_1975_1990,1975-1990,58.5479899521869,32.456959840864585,26.091030111322322
2023-03-04,March savings I,8,residential_1990_2000,1990-2000,21.724038989400835,19.669620094156908,2.0544188952439275
2023-03-04,March savings I,8,residential_2000_2014,2000-2014,36.28589314686135,2.03980271846289e-15,36.28589314686135
2023-03-04,March savings I,12,residential_pre1975,<1975,70.61190480567814,57.72289667926981,12.889008126408315
2023-03-04,March savings I,12,residential_1975_1990,1975-1990,62.56275798368552,32.456959840864585,30.105798142820948
2023-03-04,March savings I,12,residential_1990_2000,1990-2000,16.216907684151753,19.669620094156908,-3.452712410005155
2023-03-04,March savings I,12,residential_2000_2014,2000-2014,9.071473286715335,2.03980271846289e-15,9.071473286715333
2023-03-04,March savings I,24,residential_pre1975,<1975,74.95228062223092,57.722896679269766,17.22938394296115
2023-03-04,March savings I,24,residential_1975_1990,1975-1990,31.85246740471927,32.456959840864585,-0.604492436145307
2023-03-04,March savings I,24,residential_1990_2000,1990-2000,13.326168340994371,19.669620094156908,-6.343451753162537
2023-03-04,March savings I,24,residential_2000_2014,2000-2014,8.596595537313181,2.03980271846289e-15,8.59659553731318
2023-03-16,March savings II,1,residential_pre1975,<1975,4.520807210104419e-13,11.54457933585416,-11.544579335853708
2023-03-16,March savings II,1,residential_1975_1990,1975-1990,7.705921380859806e-15,10.818986613622478,-10.81898661362247
2023-03-16,March savings II,1,residential_1990_2000,1990-2000,3.702591107826538e-12,9.834810047101358,-9.834810047097656
2023-03-16,March savings II,1,residential_2000_2014,2000-2014,9.07147328671541,1.5064678917791309e-13,9.071473286715259
2023-03-16,March savings II,4,residential_pre1975,<1975,12.31246151118078,23.219715865974692,-10.907254354793912
2023-03-16,March savings II,4,residential_1975_1990,1975-1990,23.419195980874786,21.63797322724336,1.7812227536314253
2023-03-16,March savings II,4,residential_1990_2000,1990-2000,32.58605848410141,9.834810047078573,22.751248437022834
2023-03-16,March savings II,4,residential_2000_2014,2000-2014,36.285893146861525,9.51907935282682e-14,36.28589314686143
2023-03-16,March savings II,8,residential_pre1975,<1975,36.93738453354108,43.09201994618925,-6.154635412648172
2023-03-16,March savings II,8,residential_1975_1990,1975-1990,58.5479899521869,32.456959840864606,26.091030111322297
2023-03-16,March savings II,8,residential_1990_2000,1990-2000,0.0,9.834810047078454,-9.834810047078454
2023-03-16,March savings II,8,residential_2000_2014,2000-2014,68.41972804362653,0.0,68.41972804362653
2023-03-16,March savings II,12,residential_pre1975,<1975,63.69747091392641,57.72289667926976,5.974574234656652
2023-03-16,March savings II,12,residential_1975_1990,1975-1990,61.975725479419964,32.456959840864606,29.518765638555358
2023-03-16,March savings II,12,residential_1990_2000,1990-2000,0.0,9.834810047078454,-9.834810047078454
2023-03-16,March savings II,12,residential_2000_2014,2000-2014,9.071473286715335,6.84143308635012e-14,9.071473286715266
2023-03-16,March savings II,24,residential_pre1975,<1975,61.58529869231745,57.72289667926976,3.8624020130476975
2023-03-16,March savings II,24,residential_1975_1990,1975-1990,71.96155851939136,32.456959840864606,39.504598678526754
2023-03-16,March savings II,24,residential_1990_2000,1990-2000,0.0,9.834810047078454,-9.834810047078454
2023-03-16,March savings II,24,residential_2000_2014,2000-2014,9.071473286715335,0.0,9.071473286715335
2023-03-18,March savings III,1,residential_pre1975,<1975,0.0,11.544579335853951,-11.544579335853951
2023-03-18,March savings III,1,residential_1975_1990,1975-1990,0.0,10.818986613621524,-10.818986613621524
2023-03-18,March savings III,1,residential_1990_2000,1990-2000,0.0,9.834810047078385,-9.834810047078385
2023-03-18,March savings III,1,residential_2000_2014,2000-2014,9.071473286715335,2.71973695795052e-15,9.071473286715332
2023-03-18,March savings III,4,residential_pre1975,<1975,12.31246151118036,23.21971586597478,-10.907254354794421
2023-03-18,March savings III,4,residential_1975_1990,1975-1990,23.419195980874793,21.637973227243062,1.7812227536317309
2023-03-18,March savings III,4,residential_1990_2000,1990-2000,21.72403898940082,19.66962009415691,2.0544188952439058
2023-03-18,March savings III,4,residential_2000_2014,2000-2014,36.28589314686134,2.71973695795052e-15,36.28589314686134
2023-03-18,March savings III,8,residential_pre1975,<1975,36.93738453354108,43.25000906621735,-6.312624532676274
2023-03-18,March savings III,8,residential_1975_1990,1975-1990,58.5479899521869,32.45695984086457,26.091030111322336
2023-03-18,March savings III,8,residential_1990_2000,1990-2000,21.724038989400423,19.66962009415728,2.054418895243142
2023-03-18,March savings III,8,residential_2000_2014,2000-2014,61.533770895161396,2.71973695795052e-15,61.533770895161396
2023-03-18,March savings III,12,residential_pre1975,<1975,68.13572170109659,57.722896679270136,10.412825021826466
2023-03-18,March savings III,12,residential_1975_1990,1975-1990,33.264566312247254,32.45695984086508,0.8076064713821722
2023-03-18,March savings III,12,residential_1990_2000,1990-2000,32.586058484101294,19.66962009415753,12.916438389943764
2023-03-18,March savings III,12,residential_2000_2014,2000-2014,27.21441986014583,1.112117440461955e-13,27.214419860145718
2023-03-18,March savings III,24,residential_pre1975,<1975,71.48066424017281,57.72289667926976,13.757767560903055
2023-03-18,March savings III,24,residential_1975_1990,1975-1990,44.595523934363754,32.45695984086459,12.13856409349917
2023-03-18,March savings III,24,residential_1990_2000,1990-2000,16.216907684152343,19.669620094157292,-3.452712410004949
2023-03-18,March savings III,24,residential_2000_2014,2000-2014,7.680158540834023,2.71973695795052e-15,7.680158540834021
2023-03-23,March peak kink,1,residential_pre1975,<1975,0.0,11.544579335853951,-11.544579335853951
2023-03-23,March peak kink,1,residential_1975_1990,1975-1990,0.0,10.818986613621561,-10.818986613621561
2023-03-23,March peak kink,1,residential_1990_2000,1990-2000,0.0,9.834810047078454,-9.834810047078454
2023-03-23,March peak kink,1,residential_2000_2014,2000-2014,9.071473286715335,0.0,9.071473286715335
2023-03-23,March peak kink,4,residential_pre1975,<1975,24.62492302236072,23.089158671707906,1.535764350652812
2023-03-23,March peak kink,4,residential_1975_1990,1975-1990,23.41919598087476,21.637973227243087,1.781222753631674
2023-03-23,March peak kink,4,residential_1990_2000,1990-2000,32.586058484101216,9.834810047078454,22.751248437022763
2023-03-23,March peak kink,4,residential_2000_2014,2000-2014,36.28589314686134,0.0,36.28589314686134
2023-03-23,March peak kink,8,residential_pre1975,<1975,48.54309507243971,46.178317343415806,2.3647777290239063
2023-03-23,March peak kink,8,residential_1975_1990,1975-1990,56.11767605340961,32.45695984086461,23.660716212544997
2023-03-23,March peak kink,8,residential_1990_2000,1990-2000,0.0,9.834810047078454,-9.834810047078454
2023-03-23,March peak kink,8,residential_2000_2014,2000-2014,63.50031300700735,0.0,63.50031300700735
2023-03-23,March peak kink,12,residential_pre1975,<1975,61.56230755590201,46.17831734341589,15.383990212486118
2023-03-23,March peak kink,12,residential_1975_1990,1975-1990,57.723523796031905,32.456959840864876,25.26656395516703
2023-03-23,March peak kink,12,residential_1990_2000,1990-2000,0.0,9.834810047078454,-9.834810047078454
2023-03-23,March peak kink,12,residential_2000_2014,2000-2014,27.21441986014603,0.0,27.21441986014603
2023-03-23,March peak kink,24,residential_pre1975,<1975,79.00887145377624,46.178317343415806,32.83055411036044
2023-03-23,March peak kink,24,residential_1975_1990,1975-1990,70.25758794262428,32.45695984086461,37.80062810175966
2023-03-23,March peak kink,24,residential_1990_2000,1990-2000,0.0,9.834810047078454,-9.834810047078454
2023-03-23,March peak kink,24,residential_2000_2014,2000-2014,9.071473286715335,0.0,9.071473286715335
2023-04-04,Late-season shift,1,residential_pre1975,<1975,12.31246151118036,1.4041901182900093e-13,12.312461511180219
2023-04-04,Late-season shift,1,residential_1975_1990,1975-1990,11.70959799043738,0.0,11.70959799043738
2023-04-04,Late-season shift,1,residential_1990_2000,1990-2000,10.86201949470041,0.0,10.86201949470041
2023-04-04,Late-season shift,1,residential_2000_2014,2000-2014,9.071473286715335,0.0,9.071473286715335
2023-04-04,Late-season shift,4,residential_pre1975,<1975,49.24984604472144,3.0823685523439226e-14,49.24984604472141
2023-04-04,Late-season shift,4,residential_1975_1990,1975-1990,46.83839196174952,0.0,46.83839196174952
2023-04-04,Late-season shift,4,residential_1990_2000,1990-2000,39.53222049719699,0.0,39.53222049719699
2023-04-04,Late-season shift,4,residential_2000_2014,2000-2014,36.28589314686134,0.0,36.28589314686134
2023-04-04,Late-season shift,8,residential_pre1975,<1975,96.62003648794962,3.0823685523439226e-14,96.62003648794959
2023-04-04,Late-season shift,8,residential_1975_1990,1975-1990,88.65748167419046,0.0,88.65748167419046
2023-04-04,Late-season shift,8,residential_1990_2000,1990-2000,10.86201949470041,0.0,10.86201949470041
2023-04-04,Late-season shift,8,residential_2000_2014,2000-2014,43.74005244761912,0.0,43.74005244761912
2023-04-04,Late-season shift,12,residential_pre1975,<1975,146.61658031812564,3.0823685523439226e-14,146.6165803181256
